"Date","Close","Open","High","Low","Change"
"Nov 23, 2018","33.080","32.980","33.137","32.950","0.30%"
"Nov 22, 2018","32.980","32.900","33.030","32.870","0.27%"
"Nov 21, 2018","32.890","32.970","33.040","32.850","-0.30%"
"Nov 20, 2018","32.990","32.940","33.030","32.890","0.15%"
"Nov 19, 2018","32.940","32.870","33.060","32.830","0.24%"
"Nov 18, 2018","32.861","32.841","32.887","32.833","0.05%"
"Nov 16, 2018","32.845","32.955","33.075","32.785","-0.32%"
"Nov 15, 2018","32.950","32.960","33.060","32.850","0.00%"
"Nov 14, 2018","32.950","32.960","33.040","32.830","0.03%"
"Nov 13, 2018","32.940","33.170","33.170","32.900","-0.69%"
"Nov 12, 2018","33.170","33.060","33.190","33.040","0.31%"
"Nov 11, 2018","33.067","33.080","33.123","33.059","0.02%"
"Nov 09, 2018","33.060","32.970","33.140","32.940","0.27%"
"Nov 08, 2018","32.970","32.820","33.010","32.780","0.46%"
"Nov 07, 2018","32.820","32.930","33.020","32.770","-0.27%"
"Nov 06, 2018","32.910","32.930","33.030","32.900","-0.09%"
"Nov 05, 2018","32.940","32.850","33.030","32.770","0.24%"
"Nov 04, 2018","32.860","32.847","32.873","32.810","0.03%"
"Nov 02, 2018","32.850","32.890","32.990","32.770","-0.15%"
"Nov 01, 2018","32.900","33.110","33.140","32.860","-0.66%"
"Oct 31, 2018","33.120","33.270","33.330","33.060","-0.42%"
"Oct 30, 2018","33.260","33.280","33.340","33.190","-0.06%"
"Oct 29, 2018","33.280","32.990","33.310","32.990","0.64%"
"Oct 28, 2018","33.070","33.086","33.097","33.035","0.02%"
"Oct 26, 2018","33.065","32.925","33.155","32.905","0.41%"
"Oct 25, 2018","32.930","32.930","32.970","32.870","-0.02%"
"Oct 24, 2018","32.935","32.855","32.995","32.755","0.29%"
"Oct 23, 2018","32.840","32.790","32.950","32.780","0.12%"
"Oct 22, 2018","32.800","32.550","32.850","32.530","0.64%"
"Oct 21, 2018","32.590","32.588","32.618","32.562","0.00%"
"Oct 19, 2018","32.590","32.620","32.680","32.540","-0.15%"
"Oct 18, 2018","32.640","32.530","32.680","32.470","0.46%"
"Oct 17, 2018","32.490","32.500","32.580","32.410","0.00%"
"Oct 16, 2018","32.490","32.650","32.720","32.450","-0.49%"
"Oct 15, 2018","32.650","32.690","32.810","32.610","-0.24%"
"Oct 14, 2018","32.730","32.753","32.812","32.730","-0.09%"
"Oct 12, 2018","32.760","32.720","32.790","32.590","0.15%"
"Oct 11, 2018","32.710","33.000","33.050","32.620","-0.88%"
"Oct 10, 2018","33.000","32.950","33.040","32.830","0.15%"
"Oct 09, 2018","32.950","32.920","33.110","32.870","0.12%"
"Oct 08, 2018","32.910","32.780","33.040","32.760","0.16%"
"Oct 07, 2018","32.857","32.830","32.870","32.793","0.14%"
"Oct 05, 2018","32.810","32.700","32.910","32.680","0.21%"
"Oct 04, 2018","32.740","32.510","32.780","32.460","0.71%"
"Oct 03, 2018","32.510","32.340","32.550","32.300","0.53%"
"Oct 02, 2018","32.340","32.270","32.420","32.260","0.20%"
"Oct 01, 2018","32.275","32.315","32.375","32.205","-0.16%"
